entidad,nombre_pip,monto_viable,poblacion_ref,tipo,latitud,longitud,ratio_costo,pob_dist,es_marcona,ratio_costo_norm
MUNICIPALIDAD DISTRITAL DE POROY,MEJORAMIENTO DEL SERVICIO DE BIBLIOTECA MUNICIPAL MOVIL A NIVEL DEL DISTRITO DE POROY - PROVINCIA DE CUSCO - DEPARTAMENTO DE CUSCO,848264.46,14966,DISTRITAL,-13.495055095489043,-72.03976874626188,56.67943739142055,14966,False,0.031367648756278316
MUNICIPALIDAD DISTRITAL DE CHALLHUAHUACHO,CREACION DEL SERVICIO DE BIBLIOTECA MUNICIPAL EN LA LOCALIDAD DE CHALLHUAHACHO DEL  DISTRITO DE CHALLHUAHUACHO - PROVINCIA DE COTABAMBAS - DEPARTAMENTO DE APURIMAC,7642730.67,19695,DISTRITAL,-14.109247436316608,-72.24024281608482,388.05436252856055,19695,False,0.21608998223101003
MUNICIPALIDAD DISTRITAL DE SAN BUENAVENTURA - LIMA,CREACION DE LOS SERVICIOS BIBLIOTECARIOS EN LOCALIDAD DE ARAHUAY   DISTRITO DE ARAHUAY DE LA PROVINCIA DE CANTA DEL DEPARTAMENTO DE LIMA,336617.86,543,DISTRITAL,-11.620997808585344,-76.6722341979277,619.922394106814,543,False,0.34534298420031107
MUNICIPALIDAD PROVINCIAL DE SANTIAGO DE CHUCO,MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS BIBLIOTECARIOS EN LA BIBLIOTECA MUNICIPAL   DISTRITO DE SANTIAGO DE CHUCO DE LA PROVINCIA DE SANTIAGO DE CHUCO DEL DEPARTAMENTO DE LA LIBERTAD,1945074.21,55166,PROVINCIAL,-8.145237668272538,-78.17356410588461,35.258568864880544,20689,False,0.019426754865045196
MUNICIPALIDAD DISTRITAL DE MANANTAY,CREACION DE LOS SERVICIOS DE BIBLIOTECA EN EL  DISTRITO DE MANANTAY - PROVINCIA DE CORONEL PORTILLO - DEPARTAMENTO DE UCAYALI,985643.82,124303,DISTRITAL,-8.400462978981963,-74.54094080558663,7.9293646975535585,124303,False,0.004192305958850042
MUNICIPALIDAD DISTRITAL DE JAYANCA,CREACION DE INFRAESTRUCTURA PARA BIBLIOTECA MUNICIPAL EN EL  DISTRITO DE JAYANCA - PROVINCIA DE LAMBAYEQUE - DEPARTAMENTO DE LAMBAYEQUE,802266.37,21350,DISTRITAL,-6.3914731135510765,-79.82290183113261,37.57687915690867,21350,False,0.02071907861792026
MUNICIPALIDAD PROVINCIAL DE TAMBOPATA,MEJORAMIENTO DE LOS SERVICIOS BIBLIOTECARIOS EN BIBLIOTECA MUNICIPAL MONSEÑOR RAMÓN ZUVIETA YLES DE LA CIUDAD DE PUERTO MALDONADO   DISTRITO DE TAMBOPATA DE LA PROVINCIA DE TAMBOPATA DEL DEPARTAMENTO DE MADRE DE DIOS,2777971.04,173959,PROVINCIAL,-12.593337751652289,-69.1812879439642,15.969113641720176,119823,False,0.008674000477235367
MUNICIPALIDAD DISTRITAL DE CARHUAMAYO,CREACION DE LA BIBLIOTECA MUNICIPAL DEL  DISTRITO DE CARHUAMAYO - PROVINCIA DE JUNIN - DEPARTAMENTO DE JUNIN,383762.0,5416,DISTRITAL,-10.922213636276242,-76.06142821166863,70.85709010339734,5416,False,0.03927086922797473
MUNICIPALIDAD DISTRITAL DE UCHUMAYO,CREACION DE LA BIBLIOTECA MUNICIPAL FISICO VIRTUAL DEL  DISTRITO DE UCHUMAYO - PROVINCIA DE AREQUIPA - DEPARTAMENTO DE AREQUIPA,1045764.97,19760,DISTRITAL,-16.446589352710607,-71.61742238384132,52.923328441295546,19760,False,0.029273835503011582
BIBLIOTECA NACIONAL DE PERÚ - BNP,"MEJORAMIENTO DE LOS SERVICIOS DE GESTIÓN DE LA INFORMACIÓN DE LA BIBLIOTECA NACIONAL DEL PERÚ - SEDE SAN BORJA,  DISTRITO DE SAN BORJA - PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA",25785263.37,11576218,NACIONAL,-12.087253277964107,-77.00473720137697,2.227434155956635,136937,False,0.0010138098354070097
MUNICIPALIDAD PROVINCIAL DE TRUJILLO,MEJORAMIENTO DE LOS SERVICIOS BIBLIOTECARIOS EN LA BIBLIOTECA MUNICIPAL DEL   DISTRITO DE TRUJILLO DE LA PROVINCIA DE TRUJILLO DEL DEPARTAMENTO DE LA LIBERTAD,9018253.22,1231883,PROVINCIAL,-8.110449685137327,-79.032404881499,7.320705959900413,362216,False,0.0038530139552002693
MUNICIPALIDAD PROVINCIAL DE QUISPICANCHI,"MEJORAMIENTO DE LOS SERVICIOS BIBLIOTECARIOS EN LA BIBLIOTECA MUNICIPAL DE URCOS,   DISTRITO DE URCOS DE LA PROVINCIA DE QUISPICANCHI DEL DEPARTAMENTO DE CUSCO",2126593.96,107346,PROVINCIAL,-13.685605308984004,-71.6222327933898,19.810649302256255,12858,False,0.010815434175174169
